date,nav,scheme_code,scheme_name,fund_house
2016-12-20,3334.3649,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-12-21,3334.9395,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-12-22,3335.4822,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-12-23,3335.9415,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-12-25,3337.3036,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-12-26,3337.8844,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-12-27,3338.4742,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-12-28,3339.1087,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-12-29,3339.7057,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-12-30,3340.3831,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2017-01-01,3341.6261,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2017-01-02,3342.2468,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2017-01-03,3342.8581,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2017-01-04,3343.4504,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2017-01-05,3344.0332,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2017-01-06,3344.6377,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2017-01-08,3345.8006,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2017-01-09,3346.3857,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2017-01-10,3346.9752,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2017-01-11,3347.5491,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2017-01-12,3348.1344,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2017-01-13,3348.7321,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2017-01-15,3349.9292,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2017-01-16,3350.5195,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2017-01-17,3351.1052,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2017-01-18,3351.7146,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2017-01-19,3352.3153,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2017-01-20,3352.9119,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2017-01-22,3354.1307,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2017-01-23,3354.7281,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2017-01-24,3355.331,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2017-01-25,3355.8844,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2017-01-26,3356.5187,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2017-01-27,3357.1171,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2017-01-29,3358.3187,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2017-01-30,3358.9266,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2017-01-31,3359.5364,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2017-02-01,3360.1553,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2017-02-02,3360.7552,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2017-02-03,3361.3876,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2017-02-05,3362.6327,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2017-02-06,3363.2356,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2017-02-07,3363.8316,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2017-02-08,3364.1948,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2017-02-09,3364.7957,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2017-02-10,3365.4149,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2017-02-12,3366.6653,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2017-02-13,3367.2951,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2017-02-14,3367.9234,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2017-02-15,3368.5395,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2017-02-16,3369.1393,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2017-02-17,3369.7884,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2017-02-19,3370.9916,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2017-02-20,3371.5929,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2017-02-21,3372.1964,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2017-02-22,3372.8098,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2017-02-23,3373.4434,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2017-02-26,3375.2892,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2017-02-27,3375.9059,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2017-02-28,3376.5187,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2017-03-01,3377.1059,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2017-03-02,3377.7013,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2017-03-03,3378.2907,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2017-03-05,3379.5549,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2017-03-06,3380.131,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2017-03-07,3380.7249,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2017-03-08,3381.3211,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2017-03-09,3381.8949,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2017-03-10,3382.4619,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2017-03-13,3384.2804,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2017-03-14,3384.8697,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2017-03-15,3385.499,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2017-03-16,3386.1096,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2017-03-17,3386.6985,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2017-03-19,3388.0524,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2017-03-20,3388.6912,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2017-03-21,3389.3605,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2017-03-22,3390.0157,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2017-03-23,3390.6252,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2017-03-24,3391.2272,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
